,Comentarios
5127,justo lo que esperaba
5128,buena relacion calidad-precio
5129,buena relacion calidad-precio
5130,el paquete llego en mal estado
5131,muy malo
5132,muy malo
5133,no llego el producto
5134,llego justo a tiempo
5135,el paquete llego en mal estado
5136, la calidad no es la esperada
5137,justo lo que esperaba
5138,me gusto
5139, cumple las expectativas
5140,muy malo
5141,justo lo que esperaba
5142,no llego en tiempo
5143,muy malo
5144,buena relacion calidad-precio
5145, cumple las expectativas
5146,no llego en tiempo
5147,no llego en tiempo
5148, muy bueno!
5149,no llego el producto
5150,no llego el producto
5151,muy malo
5152,justo lo que esperaba
5153, la calidad no es la esperada
5154,no llego en tiempo
5155,no cumple las expectativas
5156,buena relacion calidad-precio
5157,no llego en tiempo
5158,no llego el producto
5159,muy malo
5160,llego justo a tiempo
5161,no cumple las expectativas
5162,no llego en tiempo
5163,no llego el producto
5164, cumple las expectativas
5165,muy malo
5166,no llego el producto
5167,no cumple las expectativas
5168,no llego el producto
5169,muy malo
5170,me gusto
5171, muy bueno!
5172,muy malo
5173,el paquete llego en mal estado
5174,no llego el producto
5175, muy bueno!
5176,no cumple las expectativas
5177,justo lo que esperaba
5178,el paquete llego en mal estado
5179,muy malo
5180,justo lo que esperaba
5181,muy malo
5182,justo lo que esperaba
5183,me gusto
5184, cumple las expectativas
5185,no llego el producto
5186, la calidad no es la esperada
5187,muy malo
5188,buena relacion calidad-precio
5189,me gusto
5190,muy malo
5191,no llego en tiempo
5192,no llego el producto
5193,el paquete llego en mal estado
5194,el paquete llego en mal estado
5195,me gusto
5196,no llego el producto
5197,no cumple las expectativas
5198,buena relacion calidad-precio
5199,justo lo que esperaba
5200, la calidad no es la esperada
5201,el paquete llego en mal estado
5202, la calidad no es la esperada
5203,no llego el producto
5204,el paquete llego en mal estado
5205,no llego en tiempo
5206,llego justo a tiempo
5207, la calidad no es la esperada
5208,no llego el producto
5209,no llego el producto
5210,no cumple las expectativas
5211,no llego en tiempo
5212, muy bueno!
5213, muy bueno!
5214,buena relacion calidad-precio
5215,justo lo que esperaba
5216,buena relacion calidad-precio
5217,buena relacion calidad-precio
5218,buena relacion calidad-precio
5219,no llego en tiempo
5220,buena relacion calidad-precio
5221,no llego en tiempo
5222, muy bueno!
5223,justo lo que esperaba
5224,no llego el producto
5225,el paquete llego en mal estado
5226,muy malo
5227, muy bueno!
5228,me gusto
5229,justo lo que esperaba
5230,muy malo
5231,no llego en tiempo
5232,no cumple las expectativas
5233, la calidad no es la esperada
5234,justo lo que esperaba
5235,muy malo
5236,buena relacion calidad-precio
5237,muy malo
5238,no llego el producto
5239,el paquete llego en mal estado
5240,muy malo
5241, cumple las expectativas
5242,no llego el producto
5243,me gusto
5244, la calidad no es la esperada
5245,no cumple las expectativas
5246,llego justo a tiempo
5247,no llego el producto
5248,no cumple las expectativas
5249,no cumple las expectativas
5250, la calidad no es la esperada
5251, la calidad no es la esperada
5252,muy malo
5253,no cumple las expectativas
5254,no llego en tiempo
5255,muy malo
5256,llego justo a tiempo
5257,buena relacion calidad-precio
5258,me gusto
5259,no llego en tiempo
5260,no cumple las expectativas
5261,no cumple las expectativas
5262,no llego el producto
5263, muy bueno!
5264,no llego el producto
5265, muy bueno!
5266,justo lo que esperaba
5267,buena relacion calidad-precio
5268,justo lo que esperaba
5269,justo lo que esperaba
5270, muy bueno!
5271,no cumple las expectativas
5272,muy malo
5273, muy bueno!
5274,llego justo a tiempo
5275,justo lo que esperaba
5276,no llego el producto
5277,muy malo
5278,no cumple las expectativas
5279,no llego en tiempo
5280, cumple las expectativas
5281,no cumple las expectativas
5282, la calidad no es la esperada
5283,buena relacion calidad-precio
5284,llego justo a tiempo
5285,no llego el producto
5286, cumple las expectativas
5287,no cumple las expectativas
5288,me gusto
5289,el paquete llego en mal estado
5290,justo lo que esperaba
5291, cumple las expectativas
5292,justo lo que esperaba
5293,no llego el producto
5294,no cumple las expectativas
5295, muy bueno!
5296,muy malo
5297,no llego en tiempo
5298, la calidad no es la esperada
5299,muy malo
5300,llego justo a tiempo
5301,me gusto
5302, la calidad no es la esperada
5303,justo lo que esperaba
5304,no cumple las expectativas
5305, muy bueno!
5306,buena relacion calidad-precio
5307,muy malo
5308,no llego el producto
5309,no llego el producto
5310,no cumple las expectativas
5311, muy bueno!
5312,no llego en tiempo
5313,me gusto
5314,no cumple las expectativas
5315,me gusto
5316,llego justo a tiempo
5317, la calidad no es la esperada
5318,buena relacion calidad-precio
5319,justo lo que esperaba
5320, muy bueno!
5321,justo lo que esperaba
5322, cumple las expectativas
5323, la calidad no es la esperada
5324,buena relacion calidad-precio
5325,no cumple las expectativas
5326, muy bueno!
5327,no llego el producto
5328, la calidad no es la esperada
5329, cumple las expectativas
5330,no llego el producto
5331, cumple las expectativas
5332, la calidad no es la esperada
5333,muy malo
5334,muy malo
5335, la calidad no es la esperada
5336,no llego el producto
5337, muy bueno!
5338,me gusto
5339,muy malo
5340,me gusto
5341,no llego el producto
5342,no llego en tiempo
5343,no cumple las expectativas
5344, cumple las expectativas
5345,no llego en tiempo
5346, la calidad no es la esperada
5347,llego justo a tiempo
5348,llego justo a tiempo
5349,llego justo a tiempo
5350,no llego el producto
5351,no llego el producto
5352, la calidad no es la esperada
5353, la calidad no es la esperada
5354,no llego en tiempo
5355, la calidad no es la esperada
5356,no llego en tiempo
5357, cumple las expectativas
5358,no llego en tiempo
5359,justo lo que esperaba
5360,no llego el producto
5361, cumple las expectativas
5362,justo lo que esperaba
5363,buena relacion calidad-precio
5364, muy bueno!
5365,me gusto
5366,no cumple las expectativas
5367,no cumple las expectativas
5368,muy malo
5369, muy bueno!
5370,muy malo
5371,justo lo que esperaba
5372,muy malo
5373,no llego el producto
5374,llego justo a tiempo
5375, cumple las expectativas
5376,no cumple las expectativas
5377,justo lo que esperaba
5378,buena relacion calidad-precio
5379,no llego el producto
5380,el paquete llego en mal estado
5381,no cumple las expectativas
5382, la calidad no es la esperada
5383,no llego el producto
5384,me gusto
5385,no cumple las expectativas
5386,justo lo que esperaba
5387,llego justo a tiempo
5388, cumple las expectativas
5389,no llego en tiempo
5390,muy malo
5391,no llego el producto
5392, cumple las expectativas
5393,me gusto
5394, cumple las expectativas
5395,no llego el producto
5396, cumple las expectativas
5397,no llego en tiempo
5398, muy bueno!
5399,buena relacion calidad-precio
5400,no llego en tiempo
5401,el paquete llego en mal estado
5402, cumple las expectativas
5403,muy malo
5404,me gusto
5405,buena relacion calidad-precio
5406,no llego en tiempo
5407,muy malo
5408,justo lo que esperaba
5409,muy malo
5410,buena relacion calidad-precio
5411,no llego en tiempo
5412,no llego en tiempo
5413, la calidad no es la esperada
5414,me gusto
5415, la calidad no es la esperada
5416,no cumple las expectativas
5417,llego justo a tiempo
5418,justo lo que esperaba
5419,buena relacion calidad-precio
5420,llego justo a tiempo
5421,buena relacion calidad-precio
5422,muy malo
5423, cumple las expectativas
5424,buena relacion calidad-precio
5425,no llego el producto
5426,muy malo
5427, muy bueno!
5428,no llego en tiempo
5429,me gusto
5430,no cumple las expectativas
5431, muy bueno!
5432, cumple las expectativas
5433,no cumple las expectativas
5434, muy bueno!
5435,muy malo
5436,muy malo
5437,buena relacion calidad-precio
5438,no llego el producto
5439, la calidad no es la esperada
5440,buena relacion calidad-precio
5441, muy bueno!
5442,muy malo
5443,llego justo a tiempo
5444,no cumple las expectativas
5445,muy malo
5446, muy bueno!
5447, la calidad no es la esperada
5448,el paquete llego en mal estado
5449,el paquete llego en mal estado
5450,no llego el producto
5451, la calidad no es la esperada
5452, la calidad no es la esperada
5453,muy malo
5454,buena relacion calidad-precio
5455,no llego el producto
5456,buena relacion calidad-precio
5457, cumple las expectativas
5458,me gusto
5459, la calidad no es la esperada
5460,no llego en tiempo
5461,me gusto
5462,no llego en tiempo
5463,llego justo a tiempo
5464,no llego el producto
5465, muy bueno!
5466,no llego el producto
5467,no cumple las expectativas
5468,no llego el producto
5469, cumple las expectativas
5470,no cumple las expectativas
5471,buena relacion calidad-precio
5472,muy malo
5473, la calidad no es la esperada
5474,me gusto
5475,me gusto
5476,buena relacion calidad-precio
5477, la calidad no es la esperada
5478, la calidad no es la esperada
5479,el paquete llego en mal estado
5480,no cumple las expectativas
5481,no cumple las expectativas
5482,llego justo a tiempo
5483,el paquete llego en mal estado
5484,buena relacion calidad-precio
5485,buena relacion calidad-precio
5486, cumple las expectativas
5487,justo lo que esperaba
5488, la calidad no es la esperada
5489,muy malo
5490,no llego el producto
5491,llego justo a tiempo
5492,buena relacion calidad-precio
5493,muy malo
5494,llego justo a tiempo
5495,buena relacion calidad-precio
5496,no llego el producto
5497, cumple las expectativas
5498,me gusto
5499,no llego el producto
5500,no cumple las expectativas
5501,no cumple las expectativas
5502,muy malo
5503,el paquete llego en mal estado
5504, cumple las expectativas
5505,no llego el producto
5506,buena relacion calidad-precio
5507,llego justo a tiempo
5508,justo lo que esperaba
5509,justo lo que esperaba
5510,buena relacion calidad-precio
5511, la calidad no es la esperada
5512, muy bueno!
5513,muy malo
5514,no cumple las expectativas
5515,no llego el producto
5516,muy malo
5517,no cumple las expectativas
5518,muy malo
5519,justo lo que esperaba
5520, cumple las expectativas
5521,no cumple las expectativas
5522,no cumple las expectativas
5523,llego justo a tiempo
5524,justo lo que esperaba
5525, muy bueno!
5526, la calidad no es la esperada
5527,justo lo que esperaba
5528,me gusto
5529,muy malo
5530,no llego en tiempo
5531,buena relacion calidad-precio
5532,no llego el producto
5533,no llego en tiempo
5534,no llego en tiempo
5535,no llego el producto
5536,muy malo
5537,no llego en tiempo
5538,no llego en tiempo
5539, muy bueno!
5540, muy bueno!
5541,muy malo
5542,me gusto
5543,no cumple las expectativas
5544, cumple las expectativas
5545,justo lo que esperaba
5546,llego justo a tiempo
5547,no llego el producto
5548,buena relacion calidad-precio
5549,justo lo que esperaba
5550,justo lo que esperaba
5551,no llego el producto
5552, la calidad no es la esperada
5553,muy malo
5554,no cumple las expectativas
5555, la calidad no es la esperada
5556,no llego el producto
5557,muy malo
5558,no llego el producto
5559,me gusto
5560,buena relacion calidad-precio
5561, cumple las expectativas
5562,no llego en tiempo
5563, la calidad no es la esperada
5564, cumple las expectativas
5565,buena relacion calidad-precio
5566,justo lo que esperaba
5567, cumple las expectativas
5568,buena relacion calidad-precio
5569, la calidad no es la esperada
5570,no cumple las expectativas
5571,no cumple las expectativas
5572,muy malo
5573,me gusto
5574,no llego el producto
5575,no llego el producto
5576,no cumple las expectativas
5577,muy malo
5578, cumple las expectativas
5579,no llego en tiempo
5580, cumple las expectativas
5581,muy malo
5582, la calidad no es la esperada
5583,no llego el producto
5584,justo lo que esperaba
5585,me gusto
5586,llego justo a tiempo
5587,buena relacion calidad-precio
5588,no cumple las expectativas
5589,me gusto
5590,no llego el producto
5591,buena relacion calidad-precio
5592,no llego el producto
5593, muy bueno!
5594,buena relacion calidad-precio
5595,no cumple las expectativas
5596, la calidad no es la esperada
5597, muy bueno!
5598,muy malo
5599,no llego en tiempo
5600, cumple las expectativas
5601, la calidad no es la esperada
5602,el paquete llego en mal estado
5603,me gusto
5604, cumple las expectativas
5605, cumple las expectativas
5606,buena relacion calidad-precio
5607,no llego en tiempo
5608,muy malo
5609, muy bueno!
5610,no llego en tiempo
5611,buena relacion calidad-precio
5612, cumple las expectativas
5613,no llego el producto
5614,me gusto
5615,justo lo que esperaba
5616, cumple las expectativas
5617,no cumple las expectativas
5618,llego justo a tiempo
5619,muy malo
5620,justo lo que esperaba
5621,el paquete llego en mal estado
5622, la calidad no es la esperada
5623,justo lo que esperaba
5624,buena relacion calidad-precio
5625,muy malo
5626, muy bueno!
5627,justo lo que esperaba
5628, cumple las expectativas
5629,llego justo a tiempo
5630,no llego el producto
5631,no cumple las expectativas
5632, muy bueno!
5633,no cumple las expectativas
5634, cumple las expectativas
5635, muy bueno!
5636,no llego el producto
5637,justo lo que esperaba
5638,no cumple las expectativas
5639,justo lo que esperaba
5640, la calidad no es la esperada
5641, muy bueno!
5642,me gusto
5643,no llego el producto
5644,muy malo
5645,no llego en tiempo
5646,el paquete llego en mal estado
5647,no llego el producto
5648,justo lo que esperaba
5649,muy malo
5650,justo lo que esperaba
5651, muy bueno!
5652,no llego el producto
5653,justo lo que esperaba
5654, cumple las expectativas
5655,no llego el producto
5656,llego justo a tiempo
5657,buena relacion calidad-precio
5658, la calidad no es la esperada
5659,me gusto
5660, muy bueno!
5661,muy malo
5662,justo lo que esperaba
5663,el paquete llego en mal estado
5664,no llego el producto
5665,llego justo a tiempo
5666,llego justo a tiempo
5667, muy bueno!
5668,llego justo a tiempo
5669, la calidad no es la esperada
5670,no llego el producto
5671,llego justo a tiempo
5672,el paquete llego en mal estado
5673,muy malo
5674,no cumple las expectativas
5675,no cumple las expectativas
5676, la calidad no es la esperada
5677,buena relacion calidad-precio
5678,no llego el producto
5679,justo lo que esperaba
5680,no llego el producto
5681,buena relacion calidad-precio
5682,el paquete llego en mal estado
5683,llego justo a tiempo
5684,el paquete llego en mal estado
5685,no llego en tiempo
5686,no llego el producto
5687, la calidad no es la esperada
5688,buena relacion calidad-precio
5689,justo lo que esperaba
5690,me gusto
5691,muy malo
5692, la calidad no es la esperada
5693,el paquete llego en mal estado
5694,buena relacion calidad-precio
5695,no llego el producto
5696,no cumple las expectativas
5697,buena relacion calidad-precio
5698,no cumple las expectativas
5699,el paquete llego en mal estado
5700,no llego el producto
5701,no llego el producto
5702,me gusto
5703,no llego en tiempo
5704,buena relacion calidad-precio
5705,no llego el producto
5706,el paquete llego en mal estado
5707,no llego en tiempo
5708,buena relacion calidad-precio
5709, muy bueno!
5710, cumple las expectativas
5711,no cumple las expectativas
5712,llego justo a tiempo
5713,buena relacion calidad-precio
5714,justo lo que esperaba
5715, cumple las expectativas
5716,muy malo
5717,el paquete llego en mal estado
5718,justo lo que esperaba
5719,no cumple las expectativas
5720,el paquete llego en mal estado
5721,muy malo
5722,muy malo
5723,llego justo a tiempo
5724,buena relacion calidad-precio
5725,me gusto
5726,justo lo que esperaba
5727,no cumple las expectativas
5728, la calidad no es la esperada
5729,el paquete llego en mal estado
5730,me gusto
5731, muy bueno!
5732, muy bueno!
5733,no cumple las expectativas
5734, cumple las expectativas
5735,muy malo
5736,buena relacion calidad-precio
5737,no llego el producto
5738, la calidad no es la esperada
5739,no cumple las expectativas
5740, muy bueno!
5741,no llego el producto
5742,muy malo
5743,muy malo
5744,me gusto
5745,muy malo
5746,buena relacion calidad-precio
5747,no cumple las expectativas
5748, cumple las expectativas
5749,llego justo a tiempo
5750,buena relacion calidad-precio
5751,llego justo a tiempo
5752,el paquete llego en mal estado
5753,no llego el producto
5754,me gusto
5755,justo lo que esperaba
5756,me gusto
5757, muy bueno!
5758,me gusto
5759,buena relacion calidad-precio
5760,el paquete llego en mal estado
5761, cumple las expectativas
5762, la calidad no es la esperada
5763,justo lo que esperaba
5764,no llego en tiempo
5765,buena relacion calidad-precio
5766,no cumple las expectativas
5767,llego justo a tiempo
5768,el paquete llego en mal estado
5769,el paquete llego en mal estado
5770, la calidad no es la esperada
5771, muy bueno!
5772,no cumple las expectativas
5773,no cumple las expectativas
5774,llego justo a tiempo
5775,muy malo
5776,justo lo que esperaba
5777,no llego en tiempo
5778,me gusto
5779,no llego el producto
5780,no cumple las expectativas
5781,no cumple las expectativas
5782,no llego el producto
5783,justo lo que esperaba
5784, muy bueno!
5785,no llego el producto
5786,llego justo a tiempo
5787,no cumple las expectativas
5788,justo lo que esperaba
5789,no cumple las expectativas
5790,llego justo a tiempo
5791, muy bueno!
5792, cumple las expectativas
5793,justo lo que esperaba
5794, cumple las expectativas
5795,el paquete llego en mal estado
5796,no llego el producto
5797,me gusto
5798,buena relacion calidad-precio
5799,justo lo que esperaba
5800,buena relacion calidad-precio
5801,muy malo
5802, la calidad no es la esperada
5803,me gusto
5804,justo lo que esperaba
5805,no llego el producto
5806,buena relacion calidad-precio
5807,justo lo que esperaba
5808,el paquete llego en mal estado
5809,buena relacion calidad-precio
5810,el paquete llego en mal estado
5811,no llego el producto
5812,no llego el producto
5813,no cumple las expectativas
5814,justo lo que esperaba
5815,no llego el producto
5816,no cumple las expectativas
5817,justo lo que esperaba
5818,no cumple las expectativas
5819,llego justo a tiempo
5820,no llego el producto
5821,justo lo que esperaba
5822,llego justo a tiempo
5823, la calidad no es la esperada
5824,no cumple las expectativas
5825,el paquete llego en mal estado
5826,el paquete llego en mal estado
5827,no cumple las expectativas
5828,no cumple las expectativas
5829,muy malo
5830,me gusto
5831,me gusto
5832,no llego el producto
5833,no llego el producto
5834,buena relacion calidad-precio
5835,no cumple las expectativas
5836, muy bueno!
5837,no llego el producto
5838, muy bueno!
5839,muy malo
5840,no llego el producto
5841,el paquete llego en mal estado
5842,llego justo a tiempo
5843,me gusto
5844, muy bueno!
5845,muy malo
5846,no llego en tiempo
5847,me gusto
5848,no cumple las expectativas
5849,no llego el producto
5850, cumple las expectativas
5851,buena relacion calidad-precio
5852, la calidad no es la esperada
5853,no llego el producto
5854, la calidad no es la esperada
5855,no cumple las expectativas
5856,el paquete llego en mal estado
5857,no cumple las expectativas
5858,el paquete llego en mal estado
5859,no llego el producto
5860,no llego en tiempo
5861,no llego el producto
5862, muy bueno!
5863,muy malo
5864,buena relacion calidad-precio
5865, muy bueno!
5866, muy bueno!
5867,no cumple las expectativas
5868,buena relacion calidad-precio
5869, muy bueno!
5870,muy malo
5871,justo lo que esperaba
5872,no cumple las expectativas
5873,no cumple las expectativas
5874,buena relacion calidad-precio
5875,no llego en tiempo
5876,el paquete llego en mal estado
5877,no llego el producto
5878,no llego en tiempo
5879,el paquete llego en mal estado
5880, muy bueno!
5881,llego justo a tiempo
5882,buena relacion calidad-precio
5883,no llego en tiempo
5884,no llego el producto
5885, cumple las expectativas
5886,buena relacion calidad-precio
5887, muy bueno!
5888,muy malo
5889,no llego el producto
5890, la calidad no es la esperada
5891, la calidad no es la esperada
5892, la calidad no es la esperada
5893,justo lo que esperaba
5894, cumple las expectativas
5895,no cumple las expectativas
5896,el paquete llego en mal estado
5897,no llego en tiempo
5898, cumple las expectativas
5899, cumple las expectativas
5900,no cumple las expectativas
5901,muy malo
5902, muy bueno!
5903, cumple las expectativas
5904, la calidad no es la esperada
5905,buena relacion calidad-precio
5906,muy malo
5907,no cumple las expectativas
5908,muy malo
5909,no llego en tiempo
5910, muy bueno!
5911,muy malo
5912,muy malo
5913, muy bueno!
5914,no cumple las expectativas
5915,buena relacion calidad-precio
5916, cumple las expectativas
5917,no llego en tiempo
5918,el paquete llego en mal estado
5919,no llego el producto
5920,no llego en tiempo
5921, cumple las expectativas
5922,justo lo que esperaba
5923, muy bueno!
5924,buena relacion calidad-precio
5925,no llego en tiempo
5926, la calidad no es la esperada
5927,no llego el producto
5928,no llego el producto
5929,el paquete llego en mal estado
5930, cumple las expectativas
5931, cumple las expectativas
5932,no llego el producto
5933,no cumple las expectativas
5934,no llego el producto
5935,muy malo
5936,muy malo
5937,buena relacion calidad-precio
5938,justo lo que esperaba
5939,llego justo a tiempo
5940,justo lo que esperaba
5941,no cumple las expectativas
5942,no cumple las expectativas
5943, la calidad no es la esperada
5944, muy bueno!
5945, la calidad no es la esperada
5946,muy malo
5947, muy bueno!
5948, la calidad no es la esperada
5949,me gusto
5950, la calidad no es la esperada
5951,no llego el producto
5952,no llego el producto
5953, muy bueno!
5954,no llego el producto
5955,me gusto
5956,no cumple las expectativas
5957,muy malo
5958,muy malo
5959,no llego el producto
5960,justo lo que esperaba
5961,no cumple las expectativas
5962,muy malo
5963,llego justo a tiempo
5964,no cumple las expectativas
5965,no llego el producto
5966, muy bueno!
5967,muy malo
5968,justo lo que esperaba
5969,llego justo a tiempo
5970,justo lo que esperaba
5971,el paquete llego en mal estado
5972,muy malo
5973, la calidad no es la esperada
5974,el paquete llego en mal estado
5975,no llego en tiempo
5976,me gusto
5977,el paquete llego en mal estado
5978,no cumple las expectativas
5979,no llego el producto
5980,justo lo que esperaba
5981,no llego el producto
5982,justo lo que esperaba
5983, muy bueno!
5984,buena relacion calidad-precio
5985,me gusto
5986, cumple las expectativas
5987,buena relacion calidad-precio
5988,muy malo
5989,justo lo que esperaba
5990,no llego el producto
5991,justo lo que esperaba
5992, cumple las expectativas
5993,no llego en tiempo
5994,no llego el producto
5995, muy bueno!
5996,me gusto
5997,no cumple las expectativas
5998,buena relacion calidad-precio
5999,buena relacion calidad-precio
6000,el paquete llego en mal estado
6001,no cumple las expectativas
6002, muy bueno!
6003, la calidad no es la esperada
6004,buena relacion calidad-precio
6005,buena relacion calidad-precio
6006,buena relacion calidad-precio
6007,justo lo que esperaba
6008,buena relacion calidad-precio
6009,buena relacion calidad-precio
6010,me gusto
6011, muy bueno!
6012,no cumple las expectativas
6013,el paquete llego en mal estado
6014,me gusto
6015,muy malo
6016,buena relacion calidad-precio
6017,justo lo que esperaba
6018,buena relacion calidad-precio
6019, muy bueno!
6020,no llego el producto
6021,llego justo a tiempo
6022,justo lo que esperaba
6023,el paquete llego en mal estado
6024,muy malo
6025,llego justo a tiempo
6026, la calidad no es la esperada
6027,llego justo a tiempo
6028, la calidad no es la esperada
6029, muy bueno!
6030,muy malo
6031,justo lo que esperaba
6032,me gusto
6033,buena relacion calidad-precio
6034,muy malo
6035, cumple las expectativas
6036, muy bueno!
6037,no llego en tiempo
6038,buena relacion calidad-precio
6039, muy bueno!
6040,muy malo
6041,el paquete llego en mal estado
6042,llego justo a tiempo
6043, muy bueno!
6044,llego justo a tiempo
6045,buena relacion calidad-precio
6046, muy bueno!
6047,el paquete llego en mal estado
6048, muy bueno!
6049,muy malo
6050,justo lo que esperaba
6051,buena relacion calidad-precio
6052, cumple las expectativas
6053,llego justo a tiempo
6054,buena relacion calidad-precio
6055, cumple las expectativas
6056,llego justo a tiempo
6057,muy malo
6058,no cumple las expectativas
6059,no llego en tiempo
6060,no cumple las expectativas
6061,el paquete llego en mal estado
6062,llego justo a tiempo
6063,justo lo que esperaba
6064,muy malo
6065, la calidad no es la esperada
6066,justo lo que esperaba
6067, muy bueno!
6068,no cumple las expectativas
6069,no llego en tiempo
6070, cumple las expectativas
6071,justo lo que esperaba
6072,no llego el producto
6073,no cumple las expectativas
6074,no llego el producto
6075,justo lo que esperaba
6076,justo lo que esperaba
6077,no llego el producto
6078, la calidad no es la esperada
6079, muy bueno!
6080,muy malo
6081,el paquete llego en mal estado
6082, la calidad no es la esperada
6083,no cumple las expectativas
6084, muy bueno!
6085,buena relacion calidad-precio
6086,justo lo que esperaba
6087,llego justo a tiempo
6088,no llego el producto
6089,muy malo
6090,muy malo
6091, la calidad no es la esperada
6092,no llego el producto
6093,justo lo que esperaba
6094,no cumple las expectativas
6095,no cumple las expectativas
6096,muy malo
6097, cumple las expectativas
6098,el paquete llego en mal estado
6099,me gusto
6100,muy malo
6101,no llego el producto
6102,buena relacion calidad-precio
6103,me gusto
6104,no cumple las expectativas
6105,no llego en tiempo
6106,no cumple las expectativas
6107, muy bueno!
6108,no llego el producto
6109,no llego en tiempo
6110,muy malo
6111,muy malo
6112,muy malo
6113,no cumple las expectativas
6114,no cumple las expectativas
6115,justo lo que esperaba
6116,no cumple las expectativas
6117, cumple las expectativas
6118,no llego el producto
6119,justo lo que esperaba
6120,el paquete llego en mal estado
6121,no cumple las expectativas
6122,justo lo que esperaba
6123, muy bueno!
6124,justo lo que esperaba
6125,llego justo a tiempo
6126, cumple las expectativas
6127,justo lo que esperaba
6128,el paquete llego en mal estado
6129, la calidad no es la esperada
6130,no llego el producto
6131,no llego el producto
6132,no cumple las expectativas
6133,justo lo que esperaba
6134,no cumple las expectativas
6135, muy bueno!
6136, cumple las expectativas
6137,buena relacion calidad-precio
6138, la calidad no es la esperada
6139,buena relacion calidad-precio
6140,no cumple las expectativas
6141,buena relacion calidad-precio
6142, muy bueno!
6143,buena relacion calidad-precio
6144,no llego en tiempo
6145,no llego el producto
6146,buena relacion calidad-precio
6147,justo lo que esperaba
6148,me gusto
6149,me gusto
6150,llego justo a tiempo
6151,justo lo que esperaba
6152,no llego el producto
6153,no cumple las expectativas
6154,justo lo que esperaba
6155,justo lo que esperaba
6156, cumple las expectativas
6157,el paquete llego en mal estado
6158,no llego el producto
6159,me gusto
6160,el paquete llego en mal estado
6161, la calidad no es la esperada
6162,buena relacion calidad-precio
6163,el paquete llego en mal estado
6164,no llego el producto
6165, muy bueno!
6166,no llego el producto
6167,no llego el producto
6168,justo lo que esperaba
6169,justo lo que esperaba
6170, muy bueno!
6171, muy bueno!
6172,me gusto
6173, la calidad no es la esperada
6174,me gusto
6175,llego justo a tiempo
6176,buena relacion calidad-precio
6177,el paquete llego en mal estado
6178,me gusto
6179,me gusto
6180, muy bueno!
6181,llego justo a tiempo
6182, muy bueno!
6183,no cumple las expectativas
6184,justo lo que esperaba
6185,muy malo
6186,no llego el producto
6187,no llego el producto
6188, muy bueno!
6189, la calidad no es la esperada
6190,no cumple las expectativas
6191,buena relacion calidad-precio
6192,no llego el producto
6193,no llego el producto
6194,buena relacion calidad-precio
6195,no cumple las expectativas
6196, la calidad no es la esperada
6197,no cumple las expectativas
6198,llego justo a tiempo
6199,el paquete llego en mal estado
6200, muy bueno!
6201,no cumple las expectativas
6202, muy bueno!
6203,llego justo a tiempo
6204,justo lo que esperaba
6205,no llego en tiempo
6206,buena relacion calidad-precio
6207,llego justo a tiempo
6208,buena relacion calidad-precio
6209,justo lo que esperaba
6210, la calidad no es la esperada
6211,llego justo a tiempo
6212, muy bueno!
6213,no llego en tiempo
6214,me gusto
6215,no cumple las expectativas
6216,el paquete llego en mal estado
6217,no cumple las expectativas
6218, muy bueno!
6219,buena relacion calidad-precio
6220,el paquete llego en mal estado
6221, la calidad no es la esperada
6222,llego justo a tiempo
6223,me gusto
6224,buena relacion calidad-precio
6225,muy malo
6226,muy malo
6227,el paquete llego en mal estado
6228,justo lo que esperaba
6229, la calidad no es la esperada
6230,muy malo
6231,justo lo que esperaba
6232,muy malo
6233,muy malo
6234,buena relacion calidad-precio
6235, muy bueno!
6236,no llego el producto
6237,buena relacion calidad-precio
6238,no llego el producto
6239,justo lo que esperaba
6240,llego justo a tiempo
6241, la calidad no es la esperada
6242,justo lo que esperaba
6243,buena relacion calidad-precio
6244,muy malo
6245, cumple las expectativas
6246,no cumple las expectativas
6247,el paquete llego en mal estado
6248, la calidad no es la esperada
6249,no llego en tiempo
6250,muy malo
6251,llego justo a tiempo
6252,buena relacion calidad-precio
6253,no llego el producto
6254,el paquete llego en mal estado
6255,muy malo
6256,el paquete llego en mal estado
6257,el paquete llego en mal estado
6258,muy malo
6259,justo lo que esperaba
6260,muy malo
6261,me gusto
6262,no llego el producto
6263,no cumple las expectativas
6264,no llego el producto
6265, cumple las expectativas
6266,no cumple las expectativas
6267, muy bueno!
6268, muy bueno!
6269,justo lo que esperaba
6270,me gusto
6271,no llego en tiempo
6272,no llego el producto
6273,buena relacion calidad-precio
6274,me gusto
6275,buena relacion calidad-precio
6276,no llego en tiempo
6277,muy malo
6278, la calidad no es la esperada
6279,muy malo
6280, cumple las expectativas
6281,muy malo
6282, cumple las expectativas
6283, muy bueno!
6284,llego justo a tiempo
6285,me gusto
6286, muy bueno!
6287,buena relacion calidad-precio
6288,buena relacion calidad-precio
6289,no llego el producto
6290,buena relacion calidad-precio
6291,buena relacion calidad-precio
6292, la calidad no es la esperada
6293,no llego en tiempo
6294,justo lo que esperaba
6295,no cumple las expectativas
6296,no llego en tiempo
6297,no cumple las expectativas
6298, la calidad no es la esperada
6299,no llego en tiempo
6300,buena relacion calidad-precio
6301, muy bueno!
6302,justo lo que esperaba
6303, la calidad no es la esperada
6304,llego justo a tiempo
6305,llego justo a tiempo
6306,me gusto
6307, cumple las expectativas
6308,no cumple las expectativas
6309, cumple las expectativas
